 crsv   extracorrectionfactor
 ----   ---------------------
  6.5  1.1459403
  6.83300018  1.13678312
  7.16699982  1.12808466
  7.5  1.11987603
  7.83300018  1.11211073
  8.16699982  1.10474753
  8.5  1.09781218
  8.83300018  1.09126389
  9.16600037  1.08508492
  9.5  1.07924163
  9.83300018  1.07375264
  10.1660004  1.0685842
  10.5  1.06370699
  10.8330002  1.05913568
  11.1660004  1.05484104
  11.5  1.05079782
  11.8330002  1.0470171
  12.1660004  1.04347372
  12.4989996  1.04015589
  12.8330002  1.03704274
  13.1660004  1.03414178
  13.4989996  1.03143263
  13.8330002  1.02889776
  14.1660004  1.02654243
  14.4989996  1.02434921
  14.8330002  1.02230334
  15.1660004  1.02040815
  15.4989996  1.0186491
  15.8319998  1.01701832
  16.1660004  1.01550376
  16.4990005  1.01410735
  16.8320007  1.01281726
  17.1660004  1.01162362
  17.4990005  1.01052725
  17.8320007  1.00951838
  18.1660004  1.00858891
  18.4990005  1.00773859
  18.8320007  1.00695968
  19.1650009  1.00624728
  19.4990005  1.00559485
  19.8320007  1.0050019
  20.1650009  1.00446224
  20.4990005  1.00397062
  20.8320007  1.00352621
  21.1650009  1.003124
  21.4990005  1.00275993
  21.8320007  1.0024327
  22.1650009  1.0021385
  22.4979992  1.00187457
  22.8320007  1.0016377
  23.1650009  1.00142694
  23.4979992  1.00123918
  23.8320007  1.00107205
  24.1650009  1.00092459
  24.4979992  1.00079441
  24.8320007  1.00067961
  25.1650009  1.00057912
  25.4979992  1.0004915
  25.8309994  1.00041509
  26.1650009  1.00034881
  26.4979992  1.00029159
  26.8309994  1.00024259
  27.1650009  1.00020039
  27.4979992  1.00016463
  27.8309994  1.00013435
  28.1650009  1.00010884
  28.4979992  1.0000875
  28.8309994  1.00006986
  29.1639996  1.00005519
  29.4979992  1.00004315
  29.8309994  1.00003338
  30.1639996  1.00002563
  30.4979992  1.00001943
  30.8309994  1.00001454
  31.1639996  1.00001061
  31.4979992  1.00000763
  31.8309994  1.00000548
  32.1640015  1.00000381
  32.4970016  1.00000262
  32.8310013  1.00000167
  33.1640015  1.00000107
  33.4970016  1.00000072
  33.8310013  1.00000036
  34.1640015  1.00000024
  34.4970016  1.00000012
  34.8310013  1.00000012
  35.1640015  1.
  35.4970016  1.
  35.8300018  1.
  36.1640015  1.
  36.4970016  1.
  36.8300018  1.
  37.1640015  1.
  37.4970016  1.
  37.8300018  1.
  38.1640015  1.
  38.4970016  1.
  38.8300018  1.
  39.1629982  1.
  39.4970016  1.00000012
  39.8300018  1.00000012
  40.1629982  1.00000036
  40.4970016  1.00000072
  40.8300018  1.00000119
  41.1629982  1.00000203
  41.4970016  1.00000334
  41.8300018  1.00000513
  42.1629982  1.00000763
  42.4959984  1.00001121
  42.8300018  1.00001597
  43.1629982  1.00002229
  43.4959984  1.00003052
  43.8300018  1.00004113
  44.1629982  1.00005448
  44.4959984  1.00007129
  44.8300018  1.00009203
  45.1629982  1.00011754
  45.4959984  1.00014853
  45.8289986  1.00018585
  46.1629982  1.00023079
  46.4959984  1.00028396
  46.8289986  1.00034678
  47.1629982  1.00042093
  47.4959984  1.00050712
  47.8289986  1.00060725
  48.1629982  1.00072336
  48.4959984  1.00085664
  48.8289986  1.00100946
  49.1619987  1.00118387
  49.4959984  1.00138283
  49.8289986  1.00160754
  50.1619987  1.00186121
  50.4959984  1.00214779
  50.8289986  1.00246847
  51.1619987  1.00282729
  51.4959984  1.0032289
  51.8289986  1.00367475
  52.1619987  1.0041697
  52.4949989  1.00471795
  52.8289986  1.00532556
  53.1619987  1.00599384
  53.4949989  1.00672901
  53.8289986  1.00753915
  54.1619987  1.0084244
  54.4949989  1.0093931
  54.8289986  1.0104543
  55.1619987  1.011608
  55.4949989  1.01286399
  55.8279991  1.01422906
  56.1619987  1.01571488
  56.4949989  1.01732039
  56.8279991  1.01905763
  57.1619987  1.02094078
  57.4949989  1.02296722
  57.8279991  1.02515137
  58.1619987  1.02750993
  58.4949989  1.03003848
  58.8279991  1.03275418
  59.1609993  1.03566754
  59.4949989  1.03879917
  59.8279991  1.04214203
  60.1609993  1.04571688
  60.4949989  1.04954779
  60.8279991  1.05362499
  61.1609993  1.05797267
  61.4949989  1.06261885
  61.8279991  1.06755018
  62.1609993  1.07279468
  62.4939995  1.07836783
  62.8279991  1.08430362
  63.1609993  1.09058285
  63.4939995  1.09723961
  63.8279991  1.10431325
