 crsv   extracorrectionfactor
 ----   ---------------------
  128.5  1.02571571
  128.832993  1.03999996
  129.167007  1.03499997
  129.5  1.03199995
  129.832993  1.02900004
  130.167007  1.02499998
  130.5  1.023
  130.832993  1.01999998
  131.166  1.01682687
  131.5  1.01590335
  131.832993  1.01502085
  132.166  1.01417565
  132.5  1.01336432
  132.832993  1.01259053
  133.166  1.01185083
  133.5  1.01114213
  133.832993  1.01046777
  134.166  1.0098244
  134.498993  1.00921118
  134.832993  1.00862551
  135.166  1.00806963
  135.498993  1.0075413
  135.832993  1.00703776
  136.166  1.00656128
  136.498993  1.00800002
  136.832993  1.00899994
  137.166  1.00999999
  137.498993  1.01199996
  137.832001  1.01400006
  138.166  1.01400006
  138.498993  1.01199996
  138.832001  1.00999999
  139.166  1.00800002
  139.498993  1.00600004
  139.832001  1.00399995
  140.166  1.00252497
  140.498993  1.00230575
  140.832001  1.00210106
  141.164993  1.00191045
  141.498993  1.00173259
  141.832001  1.00156784
  142.164993  1.00141513
  142.498993  1.00127351
  142.832001  1.0011431
  143.164993  1.00102305
  143.498993  1.00091231
  143.832001  1.00081122
  144.164993  1.00071871
  144.498001  1.00063431
  144.832001  1.00055742
  145.164993  1.00048792
  145.498001  1.0004251
  145.832001  1.00036836
  146.164993  1.00031769
  146.498001  1.00027251
  146.832001  1.0002321
  147.164993  1.00019646
  147.498001  1.00016522
  147.830994  1.00013769
  148.164993  1.00011384
  148.498001  1.00009322
  148.830994  1.00007558
  149.164993  1.00006044
  149.498001  1.0000478
  149.830994  1.00003719
  150.164993  1.00002849
  150.498001  1.00002146
  150.830994  1.00001574
  151.164001  1.00001132
  151.498001  1.00000787
  151.830994  1.00150001
  152.164001  1.00300002
  152.498001  1.00449991
  152.830994  1.00600004
  153.164001  1.00749993
  153.498001  1.00900006
  153.830994  1.01049995
  154.164001  1.01049995
  154.496994  1.01049995
  154.830994  1.01049995
  155.164001  1.01049995
  155.496994  1.01049995
  155.830994  1.01049995
  156.164001  1.01049995
  156.496994  1.01049995
  156.830994  1.01049995
  157.164001  1.01049995
  157.496994  1.01049995
  157.830002  1.01049995
  158.164001  1.01049995
  158.496994  1.01049995
  158.830002  1.01049995
  159.164001  1.01049995
  159.496994  1.00900006
  159.830002  1.00749993
  160.162994  1.00600004
  160.496994  1.00449991
  160.830002  1.00011027
  161.162994  1.00013769
  161.496994  1.00016999
  161.830002  1.00020766
  162.162994  1.00025117
  162.496994  1.00030148
  162.830002  1.0003587
  163.162994  1.00042367
  163.496002  1.00049722
  163.830002  1.00058007
  164.162994  1.0006727
  164.496002  1.00077593
  164.830002  1.00089097
  165.162994  1.00101805
  165.496002  1.00115812
  165.830002  1.00131273
  166.162994  1.00148177
  166.496002  1.00166667
  166.830002  1.00186896
  167.162994  1.00208843
  167.496002  1.00232673
  167.828995  1.00258482
  168.162994  1.00286472
  168.496002  1.00316572
  168.828995  1.00348997
  169.162994  1.00383949
  169.496002  1.00421357
  169.828995  1.00461435
  170.162994  1.00504422
  170.496002  1.00550222
  170.828995  1.00599062
  171.162003  1.00651085
  171.496002  1.00706601
  171.828995  1.00765407
  172.162003  1.00827813
  172.496002  1.00894165
  172.828995  1.009642
  173.162003  1.01038277
  173.496002  1.01116788
  173.828995  1.01199412
  174.162003  1.01286542
  174.494995  1.01378322
  174.828995  1.01475239
  175.162003  1.01576865
  175.494995  1.0168364
  175.828995  1.01796103
  176.162003  1.0191375
  176.494995  1.02037084
  176.828995  1.02166677
  177.162003  1.02301943
  177.494995  1.02443445
  177.828003  1.02591372
  178.162003  1.02746391
  178.494995  1.02907777
  178.828003  1.0307616
  179.162003  1.03252304
  179.494995  1.03435326
  179.828003  1.03625989
  180.162003  1.03825068
  180.494995  1.0403161
  180.828003  1.04246414
  181.160995  1.04469681
  181.494995  1.04702342
  181.828003  1.04943252
  182.160995  1.05193281
  182.494995  1.05453479
  182.828003  1.05722523
  183.160995  1.06001377
  183.494995  1.06291199
  183.828003  1.06590486
  184.160995  1.06900311
  184.494003  1.07220948
  184.828003  1.07553637
  185.160995  1.07896638
  185.494003  1.08251202
  185.828003  1.08618677
  186.160995  1.08997142
